STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-01,0,",,7,2100",0,",,7",0,",,7",38,",,7",34,",,7",34,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-02,0,",,7,2100",0,",,7",0,",,7",42,",,7",28,",,7",29,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-03,0,",,7,2100",0,",,7",0,",,7",45,",,7",29,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-04,0,",,7,2100",0,",,7",0,",,7",36,",,7",14,",,7",14,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-05,0,",,7,2100",0,",,7",0,",,7",29,",,7",10,",,7",26,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-06,0,",,7,2100",0,",,7",0,",,7",37,",,7",11,",,7",24,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-07,0,",,7,2100",0,",,7",0,",,7",42,",,7",17,",,7",27,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-08,0.03,",,7,2100",0,",,7",0,",,7",35,",,7",21,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-09,0.12,",,7,2100",0,",,7",0,",,7",40,",,7",34,",,7",39,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-10,1.57,",,7,2100",0,",,7",0,",,7",53,",,7",35,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-11,0,",,7,2100",0,",,7",0,",,7",35,",,7",21,",,7",22,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-12,0.05,",,7,2100",0.9,",,7",0,"T,,7",31,",,7",16,",,7",20,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-13,0,",,7,2100",0,",,7",0,",,7",25,",,7",18,",,7",23,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-14,0,",,7,2100",0,",,7",0,",,7",50,",,7",19,",,7",34,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-15,0,",,7,2100",0,",,7",0,",,7",46,",,7",32,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-16,0,",,7,2100",0,",,7",0,",,7",39,",,7",27,",,7",27,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-17,0,",,7,2100",0,",,7",0,",,7",36,",,7",14,",,7",19,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-18,0,",,7,2100",0,",,7",0,",,7",21,",,7",10,",,7",20,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-19,0,",,7,2100",0,",,7",0,",,7",21,",,7",14,",,7",21,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-20,0,",,7,2100",0,",,7",0,",,7",27,",,7",18,",,7",27,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-21,0,",,7,2100",0,",,7",0,",,7",30,",,7",18,",,7",28,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-22,0.1,",,7,2100",2.8,",,7",3,",,7",32,",,7",21,",,7",25,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-23,1.4,",,7,2100",26.2,",,7",28,",,7",25,",,7",20,",,7",20,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-24,0,",,7,2100",0,",,7",26,",,7",31,",,7",14,",,7",16,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-25,0,",,7,2100",0,",,7",24,",,7",37,",,7",12,",,7",28,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-26,0,",,7,2100",0,",,7",21,",,7",45,",,7",27,",,7",43,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-27,0,",,7,2100",0,",,7",19,",,7",43,",,7",25,",,7",25,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-28,0,",,7,2100",0,",,7",16,",,7",35,",,7",9,",,7",25,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-29,0,",,7,2100",0,",,7",14,",,7",37,",,7",25,",,7",26,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-30,0,",,7,2100",0,",,7",12,",,7",39,",,7",15,",,7",26,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-01-31,0,",,7,2100",0,",,7",9,",,7",54,",,7",23,",,7",36,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-01,0.04,",,7,2100",0,",,7",7,",,7",49,",,7",32,",,7",32,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-02,0,",,7,2100",0,",,7",6,",,7",45,",,7",23,",,7",41,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-03,0.96,",,7,2100",0,",,7",5,",,7",42,",,7",36,",,7",38,",,7,2100",,,,,1,",,7",,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-04,0,",,7,2100",0,",,7",4,",,7",46,",,7",38,",,7",38,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-05,0,",,7,2100",0,",,7",4,",,7",38,",,7",30,",,7",30,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-06,0,",,7,2100",0,",,7",3,",,7",41,",,7",22,",,7",27,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-07,0,",,7,2100",0,",,7",2,",,7",44,",,7",20,",,7",28,",,7,2100",,,,,,,,,,,,,,
